State,Airport Name,Loc ID,Associated City,County,Enplanements,,,,,,,,,,,,,,
IL,Quad City International,MLI,Moline,Rock Island,"368,114",,,,,,,,,,,,,,
IL,General Downing - Peoria International,PIA,Peoria,Peoria,"318,162",,,,,,,,,,,,,,
IL,Central IL Regional Airport at Bloomington-Normal,BMI,Bloomington-Normal Airport,McLean,"186,633",,,,,,,,,,,,,,
IL,Chicago/Rockford International,RFD,Rockford,Winnebago,"108,379",,,,,,,,,,,,,,
IL,Abraham Lincoln Capital,SPI,Springfield,Sangamon,"90,413",,,,,,,,,,,,,,
IL,University of Illinois-Willard,CMI,Savoy,Champaign,"89,836",,,,,,,,,,,,,,
IL,Scott AFB/Midamerica,BLV,Belleville,St. Clair,"32,589",,,,,,,,,,,,,,
IL,Williamson County Regional,MWA,Marion,Williamson,"10,570",,,,,,,,,,,,,,
IL,Quincy Regional-Baldwin Field,UIN,Quincy,Adams,"9,159",,,,,,,,,,,,,,
IL,Decatur,DEC,Decatur,Macon,"8,034",,,,,,,,,,,,,,
IN,Indianapolis International,IND,Indianapolis,Marion,"3,889,567",,,,,,,,,,,,,,
IN,Fort Wayne International,FWA,Fort Wayne,Allen,"353,876",,,,,,,,,,,,,,
IN,South Bend International,SBN,South Bend,St. Joseph,"315,313",,,,,,,,,,,,,,
IN,Evansville Regional,EVV,Evansville,Vanderburgh,"203,350",,,,,,,,,,,,,,
IN,Purdue University,LAF,Lafayette,Stark,"2,504",,,,,,,,,,,,,,
KS,Wichita Dwight D Eisenhower National,ICT,Wichita,Sedgwick,"773,550",,,,,,,,,,,,,,
KS,Manhattan Regional,MHK,Manhattan,Riley,"66,263",,,,,,,,,,,,,,
KS,Garden City Regional,GCK,Garden City,Finney,"27,152",,,,,,,,,,,,,,
KS,Salina Regional,SLN,Salina,Saline,"10,079",,,,,,,,,,,,,,
KS,Hays Regional,HYS,Hays,Ellis,"8,470",,,,,,,,,,,,,,
KS,Liberal Mid-America Regional,LBL,Liberal,Seward,"5,456",,,,,,,,,,,,,,
KS,Topeka Regional,FOE,Topeka,Shawnee,"4,939",,,,,,,,,,,,,,
KY,Cincinnati/Northern Kentucky International,CVG,Greater Cincinnati International Airport,Boone,"3,054,991",,,,,,,,,,,,,,
KY,Louisville International-Standiford Field,SDF,Louisville,Jefferson,"1,640,297",,,,,,,,,,,,,,
KY,Blue Grass,LEX,Lexington,Fayette,"606,980",,,,,,,,,,,,,,
KY,Owensboro-Daviess County,OWB,Owensboro,Daviess,"21,951",,,,,,,,,,,,,,
KY,Barkley Regional,PAH,Paducah,McCracken,"21,027",,,,,,,,,,,,,,
LA,Louis Armstrong New Orleans International,MSY,Metairie,Jefferson,"5,329,711",,,,,,,,,,,,,,
LA,"Baton Rouge Metropolitan, Ryan Field",BTR,Baton Rouge,East Baton Rouge,"366,102",,,,,,,,,,,,,,
LA,Shreveport Regional,SHV,Shreveport,Caddo,"295,257",,,,,,,,,,,,,,
LA,Lafayette Regional/Paul Fournet Field,LFT,Lafayette,Lafayette,"243,840",,,,,,,,,,,,,,
LA,Alexandria International,AEX,Alexandria,Rapides,"159,252",,,,,,,,,,,,,,
LA,Monroe Regional,MLU,Monroe,Ouachita,"114,170",,,,,,,,,,,,,,
LA,Lake Charles Regional,LCH,Lake Charles,Calcasieu,"69,130",,,,,,,,,,,,,,
MA,General Edward Lawrence Logan International,BOS,Boston,Suffolk,"16,290,362",,,,,,,,,,,,,,
MA,Nantucket Memorial,ACK,Nantucket,Nantucket,"155,952",,,,,,,,,,,,,,
MA,Barnstable Municipal-Boardman/Polando Field,HYA,Hyannis,Barnstable,"65,790",,,,,,,,,,,,,,
MA,Worcester Regional,ORH,Worcester,Worcester,"59,624",,,,,,,,,,,,,,
MA,Martha's Vineyard,MVY,Vineyard Haven,Dukes,"49,853",,,,,,,,,,,,,,
MA,Provincetown Municipal,PVC,Provincetown,Barnstable,"10,841",,,,,,,,,,,,,,
MA,New Bedford Regional,EWB,New Bedford,Bristol,"7,271",,,,,,,,,,,,,,
MD,Baltimore/Washington International Thurgood Marshall,BWI,Glen Burnie,Anne Arundel,"11,738,845",,,,,,,,,,,,,,
MD,Salisbury-Ocean City Wicomico Regional,SBY,Salisbury,Wicomico,"61,782",,,,,,,,,,,,,,
MD,Hagerstown Regional-Richard A Henson Field,HGR,Hagerstown,Washington,"25,356",,,,,,,,,,,,,,
ME,Portland International Jetport,PWM,Portland,Cumberland,"858,449",,,,,,,,,,,,,,
ME,Bangor International,BGR,Bangor,Penobscot,"273,829",,,,,,,,,,,,,,
ME,Knox County Regional,RKD,Rockland,Knox,"15,730",,,,,,,,,,,,,,
ME,Northern Maine Regional Airport at Presque Isle,PQI,Presque Isle,Aroostook,"12,928",,,,,,,,,,,,,,
ME,Hancock County-Bar Harbor,BHB,Bar Harbor,Hancock,"9,579",,,,,,,,,,,,,,
ME,Augusta State,AUG,Augusta,Kennebec,"5,120",,,,,,,,,,,,,,
MI,Detroit Metropolitan Wayne County,DTW,Detroit,Wayne,"16,255,520",,,,,,,,,,,,,,
MI,Gerald R Ford International,GRR,Grand Rapids,Kent,"1,280,803",,,,,,,,,,,,,,
MI,Bishop International,FNT,Flint,Genesee,"411,763",,,,,,,,,,,,,,
MI,Cherry Capital,TVC,Traverse City,Grand Traverse,"210,231",,,,,,,,,,,,,,
MI,Capital Region International,LAN,Clinton (Township of),Clinton,"180,927",,,,,,,,,,,,,,
MI,Kalamazoo/Battle Creek International,AZO,Kalamazoo,Kalamazoo,"122,081",,,,,,,,,,,,,,
MI,MBS International,MBS,Saginaw,Saginaw,"119,004",,,,,,,,,,,,,,
MI,Sawyer International,SAW,Gwinn,Marquette,"42,578",,,,,,,,,,,,,,
MI,Houghton County Memorial,CMX,Hancock,Houghton,"25,732",,,,,,,,,,,,,,
MI,Pellston Regional Airport of Emmet County,PLN,Pellston,Emmet,"25,197",,,,,,,,,,,,,,
MI,Chippewa County International,CIU,Sault Ste. Marie,Chippewa,"22,687",,,,,,,,,,,,,,
MI,Muskegon County,MKG,Muskegon,Muskegon,"17,087",,,,,,,,,,,,,,
MI,Delta County,ESC,Escanaba,Delta,"16,665",,,,,,,,,,,,,,
MI,Ford,IMT,Iron Mountain,Dickinson,"12,672",,,,,,,,,,,,,,
MI,Alpena County Regional,APN,Alpena,Alpena,"10,409",,,,,,,,,,,,,,
MI,Gogebic-Iron County,IWD,Ironwood,Gogebic,"4,697",,,,,,,,,,,,,,
MI,Willow Run,YIP,Detroit,Wayne,"4,045",,,,,,,,,,,,,,
MI,Oakland County International,PTK,Pontiac,Oakland,"3,100",,,,,,,,,,,,,,
MN,Minneapolis-St Paul International/Wold-Chamberlain,MSP,Minneapolis,Hennepin,"17,634,273",,,,,,,,,,,,,,
MN,Duluth International,DLH,Duluth,St. Louis,"131,128",,,,,,,,,,,,,,
MN,Rochester International,RST,Rochester,Olmsted,"114,657",,,,,,,,,,,,,,
MN,Bemidji Regional,BJI,Bemidji,Beltrami,"24,765",,,,,,,,,,,,,,
MN,St. Cloud Regional,STC,St. Cloud,Sherburne,"19,171",,,,,,,,,,,,,,
MN,Brainerd Lakes Regional,BRD,Brainerd,Crow Wing,"18,200",,,,,,,,,,,,,,
MN,Falls International-Einarson Field,INL,International Falls,Koochiching,"14,706",,,,,,,,,,,,,,
MN,Range Regional,HIB,Hibbing,St. Louis,"12,394",,,,,,,,,,,,,,
MO,Lambert-St Louis International,STL,St. Louis,St. Louis,"6,239,248",,,,,,,,,,,,,,
